Taxonomic information of Operational Taxonomic Units (OTUs) from 16S rRNA gene V4 region Illumina sequencing,,,,,,,,
POTU_ID,OTU_ID_orig,Domain,Phylum,Class,Order,Family,Genus,Species
POTU120,66230f9d301d7ae3508f861c7a291be2,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU121,92c04976e204509c2cdbbaf61862e559,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU122,cbe02981dd2b5f2468301868f25eb1a5,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU123,205e538866be6f527bbb69850cc5e1ba,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU124,eaad88cb6cf1c22ac178d39ea8657cc1,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU125,11efcbeedb396736aa7146cd9be315e0,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU126,5cc6c1cc643b859bc55f8f31e40d05d7,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU127,5d7e48a74dee88b078f18eb185a80b99,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU128,53e10f5cb4332e770614a1deaa1f385d,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU129,701d9e4a18b219d30305434ddf00557d,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU130,e034d9900c3cd2819bc4eaf2729f3f85,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU131,991721eca4617618af93f8b4b6986307,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU132,56865f2daad5c8a3338953d4d692b7d1,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU133,4992bbd8aac22ab08f2a8ddb5b402cdb,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU134,9365064d9015c9ebb33cff0284b97354,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU135,9b0dcd1c58d073c2859f10b351d1a9e0,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU136,f6025640200b379653b76ba0423b78fc,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU137,4bdbd9d2cd7485dc5c0135794da7b0d2,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU138,89473c735853a2a4aa893616c8efe143,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,s__uncultured_bacterium
POTU139,177187409edaaaa52e8b61173fb2bc97,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Gracilibacteria,f__Gracilibacteria,g__Gracilibacteria,
POTU140,ca05f4f5d70c62fad521f276d3a6449d,d__Bacteria,,,,,,
POTU141,bccfd40245e957ed900f49417fc008b0,d__Bacteria,p__Patescibacteria,,,,,
POTU142,80c0289a5f5d288e1b109d93cd213005,d__Bacteria,p__Patescibacteria,,,,,
POTU143,5881ab9c746095f3f660e2401f65690a,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU144,192bf0e75f0dba49e135a43028564f86,d__Bacteria,p__Patescibacteria,,,,,
POTU145,744324df0f39a141891150039fb5d08b,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU146,62522c30bae5675685b7ba98a8cd3abb,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Kerfeldbacteria,f__Candidatus_Kerfeldbacteria,g__Candidatus_Kerfeldbacteria,s__uncultured_bacterium
POTU147,79bed59dd30a5feacaf07f2000b63086,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Kerfeldbacteria,f__Candidatus_Kerfeldbacteria,g__Candidatus_Kerfeldbacteria,
POTU148,e7c97e51b803af69e63409222854aa07,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Buchananbacteria,f__Candidatus_Buchananbacteria,g__Candidatus_Buchananbacteria,
POTU149,022dd855625842fc2ced9a3d12f04d0d,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU150,590700d903faf1dcb8eb0a1444511f09,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Komeilibacteria,f__Candidatus_Komeilibacteria,g__Candidatus_Komeilibacteria,s__uncultured_bacterium
POTU151,3d811256fcac4a4a7d30b142ac765921,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Komeilibacteria,f__Candidatus_Komeilibacteria,g__Candidatus_Komeilibacteria,s__uncultured_bacterium
POTU152,a7847d311c8905a745adde4310cf2be2,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Komeilibacteria,f__Candidatus_Komeilibacteria,g__Candidatus_Komeilibacteria,s__uncultured_bacterium
POTU153,680211e8d5d26edd0bc47d6268264636,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU154,0611f89260ce73ab610a663e594552b8,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU155,b3af192324a784be9e6a047cf3107cab,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU156,6d6b46441d8f66562cfe2f8544e5cbce,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Kerfeldbacteria,f__Candidatus_Kerfeldbacteria,g__Candidatus_Kerfeldbacteria,
POTU157,27dbc37e347cfa27f62a607d29b702a8,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Kerfeldbacteria,f__Candidatus_Kerfeldbacteria,g__Candidatus_Kerfeldbacteria,
POTU158,d7eb7492245287b44e22404bb3d518b3,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU159,2d46543b543f63d8e7ffd40f7b256a5f,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Magasanikbacteria,f__Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,
POTU160,b9058eb931afd0b8622ba95b27ddc057,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Magasanikbacteria,f__Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,
POTU161,5be4951a16beddc961b5c72400e3b75d,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Magasanikbacteria,f__Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,
POTU162,e44ac6c9cf5d22240864f7c8a08be487,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Magasanikbacteria,f__Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,
POTU163,3769dcdacf3f3754dcf7577207f9fde6,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Magasanikbacteria,f__Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,
POTU164,74267388bc7aad55417061bc11b9c902,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Magasanikbacteria,f__Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,
POTU165,0b78b817c85cc26e59bce5945c6e3534,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU166,067d2d19f1f5764413f5d0e0f367065a,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU167,109623b2219cbbee2056a3c74cce202c,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU168,ce1a31a4b5cade643a4f3e28ce759f8d,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU169,c6687f9d5edffb205eb320bdd563846a,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Uhrbacteria,f__Candidatus_Uhrbacteria,g__Candidatus_Uhrbacteria,s__Candidatus_Uhrbacteria
POTU170,be12f6eaeea1b0cdafc085f4db699bba,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Uhrbacteria,f__Candidatus_Uhrbacteria,g__Candidatus_Uhrbacteria,
POTU171,72089e1f68f4513c69ae49c360326e69,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU172,6383a80e3a8da584ae439c19fe24b996,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU173,c0c2ab7a0bd14d52e84d6735c0006cbe,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU174,046bb5f20516148c764f2551d2773577,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU175,55ea30a36b31a1aa0edfdcb9f9cab4a1,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU176,dd50ac70054c65c83ee081d56bd85181,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU177,67fff267c1a747111dddc5692d9ca08e,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU178,0b22a8b4285a80ee213129b65757042f,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU179,ec02c2c2df475e24187fcea7a03f3532,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU180,bbf2a0789aa54275ae45fa6bb4978750,d__Bacteria,p__Patescibacteria,c__ABY1,,,,
POTU181,ed06b3ae86af44628fcbefb9e327aa5f,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Uhrbacteria,f__Candidatus_Uhrbacteria,g__Candidatus_Uhrbacteria,s__uncultured_bacterium
